Fuel type,body type,transmission,ownerNo,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City
Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2019,8.43,Third Party,32184,21.4,5,Silver,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno RS,2018,7.99,Comprehensive,32279,21.1,5,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,5.76,Comprehensive,59698,18.6,5,White,Bangalore
Diesel,SUV,Manual,1,Renault,Renault Captur,2018,9.49,Comprehensive,46071,20.37,5,Grey,Bangalore
Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2017,7.95,Third Party insurance,90000,24.3,5,Yellow,Bangalore
Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2019,10.85,Third Party,9554,18.27,5,Blue,Bangalore
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2022,25.9,Comprehensive,14000,14.1,5,Green,Bangalore
Diesel,SUV,Manual,2,Renault,Renault Duster,2013,5.16,Third Party,74499,20.45,5,Brown,Bangalore
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2017,7.77,Comprehensive,56211,14.8,5,Grey,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2019,7.53,Comprehensive,9001,18.2,5,White,Bangalore
Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,2017,12.26,Third Party insurance,65457,16.0,7,Orange,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2017,7.25,Comprehensive,23682,18.7,5,Red,Bangalore
Diesel,Sedan,Manual,1,Hyundai,Hyundai Verna,2020,11.5,Third Party insurance,50000,22.0,5,Red,Bangalore
Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,6.29,Comprehensive,134557,25.2,5,White,Bangalore
Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2013,4.47,Comprehensive,96567,22.41,5,Blue,Bangalore
Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,120000,23.1,5,White,Bangalore
Diesel,MUV,Manual,2,Maruti,Maruti Ertiga,2014,7.86,Comprehensive,83007,20.77,7,White,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2018,7.45,Comprehensive,34000,18.7,5,Maroon,Bangalore
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.9,Comprehensive,81634,18.9,5,White,Bangalore
Petrol,Sedan,Automatic,2,Honda,Honda City,2017,9.42,Comprehensive,57284,18.0,5,Brown,Bangalore
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2016,6.75,Third Party insurance,70000,15.63,5,Silver,Bangalore
Petrol,Hatchback,Manual,2,Honda,Honda Brio,2013,3.3,Third Party insurance,70000,19.4,5,Red,Bangalore
Petrol,Sedan,Automatic,2,Toyota,Toyota Yaris,2018,8.75,Third Party insurance,46429,17.8,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,8.69,Comprehensive,17624,21.4,5,White,Bangalore
Diesel,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2012,4.25,Third Party insurance,100000,20.54,5,Blue,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2019,10.7,Third Party insurance,30000,17.4,5,Others,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,10.25,Third Party insurance,49690,15.9,5,Blue,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2016,10.0,Third Party insurance,110000,16.0,7,White,Bangalore
Petrol,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,50000,16.0,5,Gray,Bangalore
Petrol,Sedan,Manual,1,Fiat,Fiat Linea,2009,3.75,Third Party insurance,50000,16.0,5,Gray,Bangalore
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,8.44,Comprehensive,55702,14.8,5,Silver,Bangalore
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2016,7.64,Third Party insurance,45046,21.19,5,Brown,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,53000,18.5,5,Silver,Bangalore
Diesel,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,6.84,Third Party insurance,94695,27.39,5,Red,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,8.03,Zero Dep,22162,21.4,5,Silver,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2010,3.2,Third Party insurance,70000,17.92,5,Others,Bangalore
Diesel,Sedan,Manual,1,Honda,Honda City,2017,8.04,Comprehensive,115331,26.0,5,Silver,Bangalore
Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,14.0,Third Party insurance,70000,10.0,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2016,5.48,Comprehensive,42233,22.38,5,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,6.19,Comprehensive,20941,18.9,5,Others,Bangalore
Diesel,SUV,Manual,2,Maruti,Maruti Vitara Brezza,2018,10.0,Third Party insurance,50000,24.3,5,Red,Bangalore
Petrol,SUV,Manual,1,Honda,Honda WR-V,2018,8.65,Comprehensive,46602,17.5,5,Brown,Bangalore
Diesel,SUV,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,10.0,Third Party insurance,50000,11.18,7,White,Bangalore
Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2014,5.35,Comprehensive,104000,25.2,5,Red,Bangalore
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2018,9.75,Comprehensive,90000,23.0,5,Brown,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,6.99,Third Party insurance,50035,21.4,5,Blue,Bangalore
Petrol,SUV,Manual,1,Tata,Tata Nexon,2021,11.5,Third Party insurance,80000,17.57,5,Gray,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2015,6.25,Comprehensive,90000,18.6,5,Maroon,Bangalore
Diesel,Sedan,Automatic,4,Mercedes-Benz,Mercedes-Benz E-Class,2011,10.0,Third Party insurance,90000,14.21,5,Others,Bangalore
Diesel,Sedan,Manual,1,Toyota,Toyota Corolla Altis,2011,6.0,Third Party insurance,120000,21.43,5,Silver,Bangalore
Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2015,6.75,Third Party,25170,22.41,5,Blue,Bangalore
Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2021,8.93,Comprehensive,25022,20.65,5,Others,Bangalore
